AHKSTTY;TYSKHAT
GIRSTTÆ;TÆRIGST
KLLOSUV;ULLVOKS
IPSTUVÅ;UPÅVIST
AAKRSSV;VASSKAR
AKMSSUV;VASSKUM
EKRSUVV;VEVKURS
EESTTVÅ;VÅTESTE
EFJKOSØ;ØKOSJEF
EEGGKSØ;ØKSEEGG
AHLLSTØ;ØSTHALL
EGGSTVØ;ØSTVEGG
ERSSTTÅ;ÅRSSETT
ABDGSYÅ;ÅSBYGDA
ABBERSÅ;ÅSRABBE
AAEGSSV;AVGASSE
AIKSTVV;AVKVIST
AEEISVV;AVVEIES EVASIVE
ABCEHST;BATCHES
BEEOSSV;BESOVES
BEEIPSS;BESPISE
BEEKSSØ;BESØKES
BIILSTØ;BILIØST
ABILLSÅ;BILLÅSA
BEGLSSÅ;BLESGÅS
ABGLSSY;BLYGASS
BLOSTTÅ;BLÅSOTT
BIJMRSØ;BRIMSJØ
BEMMRSU;BRUMMES
ABLPSSU;BUPLASS
ABEFJRY;BYFERJA
BEESSTY;BYSSETE
ABIRRSÆ;BÆRRISA
CEHORSU;CHOREUS
CEORSST;CROSSET
CEIRRSU;CRUISER
ADEFFST;DAFFEST
AADGSST;DAGSATS
DLMOOST;DOMSTOL
DEMMSTU;DUMMEST
DDRSTUØ;DUSRØDT DØDSTRU USTRØDD
DDEESTØ;DØDESTE
ABDDRSØ;DØDSBRA
DEESSTT;ETSTEDS
AFKLLSØ;FALLØKS
AAFLRSS;FARLASS
DEEEFLR;FEDELER
AEFMPSS;FEMPASS
EFJKSTÅ;FJÅKEST
AFLLSTY;FLYLAST
EFOORSV;FORSOVE
DFOORST;FORSTOD
AADFRRS;FRADRAS
FIKKSTU;FUSTIKK
EFRRSTÆ;FÆRREST
AGRRSSØ;GASSRØR
AEGGOSS;GEOGASS
DGMOORS;GODSROM ROMGODS
AADGGRS;GRADSAG
BGILLTU;GULLBIT
EEEHKST;HEKSETE
EEHJLMS;HJELMES HJEMLES
EHLOSSØ;HOSELØS
GHOSTTU;HUGSOTT UTHOGST
ADHISSU;HUSSIDA
EHLLSTY;HYLLEST
EHMRSUÆ;HÆRMUSE
GHKSTYØ;HØGTYSK SKYHØGT
AAGHLSØ;HØLSAGA
ADGHSYØ;HØYDAGS
EHISVYØ;HØYVISE
AHLPSUÅ;HÅPLAUS
EFILLSY;IFYLLES LYSFEIL SEILFLY
BDDIRSU;ISBRUDD
EFHILSS;ISSHELF
AADIKSS;ISSKADA
AJKKOST;JAKTSKO
ADEEJSS;JASSEDE
DHJORSU;JORDHUS
JLORSTÆ;JÆRSTOL
ABKKLSY;KABYLSK
EEJKLLR;KJELLER
EEJKPRØ;KJØPERE
EJKSTTØ;KJØTTES SKJØTET SKJØTTE
AEFFKLT;KLAFFET
BBEKLSU;KLUBBES
AJKLLOS;KOLLASJ
DDKORSØ;KORSDØD
EKKMOSY;KOSEMYK
AABKKRS;KRABASK
EEEKRRT;KREERTE KRETERE
BIKKMOR;KRIMBOK
ADKKORR;KROKARD
EEKKORR;KROKERE
IKLMMOR;KROMLIM
EKMPRRY;KRYMPER
EKLLRRØ;KRØLLER
EKPPRSØ;KRØPPES
AKKPRSÅ;KRÅSKAP
ABKRTUU;KUBATUR
EKLPPSU;KUSLEPP
AAKLTVÅ;KVALÅTA
EEKRSVV;KVERVES
DIKTVYØ;KVITØYD
EFKLLTØ;KØLFELT
AABEILL;LABIALE
BIIKLMS;LIMBISK
ADIILOP;LIPOIDA
IIKLSTT;LITTISK TILSIKT
ILNSSVY;LIVSSYN
AEFFLRU;LUFFAER
DEEGGLU;LUGGEDE
ELNPSUU;LUPUSEN
ADDLORY;LYDORDA
ADDILSY;LYDSIDA
AAGLPSY;LYSGAPA
EILMRRÆ;LÆRREIM REIMLÆR
LLNSTYØ;LØSLYNT
AAELPVØ;LØVEAPA
AGHLUVØ;LØVHAUG
AGLTTYØ;LØYGATT
AHLLRSÅ;LÅRHALS
AADMRSS;MADRASS
AEIMMTØ;MAIMØTE
AELMMRÅ;MALMÅRE
AAEMMRS;MARASME
AABDMTU;MATBUDA
AADEMUY;MAYADUE
DDEELMT;MEDDELT
DEEEIMT;MEITEDE
DEIIMTV;MIDTVEI
AGIMMOS;MISOGAM
EEJMSTÅ;MJÅESTE
EEFMOTT;MOFETTE
AEFMMOR;MORFEMA
ELMOOSV;MOSELOV
AFLLMOT;MOTFALL
ADGLLMU;MULDLAG
EKLMSUU;MUSKULE SEKULUM
EGMNSUU;MUSUNGE
AGGMRTY;MYGGART
ALLMRUY;MYRULLA
